SupportFrom,SupportTo,OSBuild,OSPlatform,InSecuritySupport,Lifecycle
2021-09-20,2026-09-20,15,iOS/iPadOS,True,iOS 15
2022-09-12,2027-09-12,16,iOS/iPadOS,True,iOS 16
2024-09-16,2029-09-16,18,iOS/iPadOS,True,iOS 18
2025-09-15,2031-09-15,26,iOS/iPadOS,True,iOS 26
