AvailabilityDate,NormalizedBuild,OSBuild,OSPlatform
2025-06-01,26.5.1,26,MacOS
2025-05-11,15.7.7,15,MacOS
2025-05-11,14.8.7,14,MacOS
2026-05-11,27.0,27,MacOS
