SupportFrom,SupportTo,OSBuild,OSPlatform,InSecuritySupport,Lifecycle
2021-10-04,2024-10-08,22000,Windows11,True,Windows 11 21H2 Enterprise/Education
2022-09-20,2025-10-14,22621,Windows11,True,Windows 11 22H2 Enterprise/Education
2023-10-31,2026-11-10,22631,Windows11,True,Windows 11 23H2 Enterprise/Education
2024-10-01,2027-10-12,26100,Windows11,True,Windows 11 24H2 Enterprise/Education
2025-09-30,2028-10-10,26200,Windows11,True,Windows 11 25H2 Enterprise/Education
2026-02-10,2029-03-13,28000,Windows11,True,Windows 11 26H1 Enterprise/Education
2022-09-18,2025-10-14,19045,Windows10,True,Windows 10 22H2
